gauge_divisor,grams,id,machine_washable,min_gauge,name,permalink,rating_average,rating_count,rating_total,texture,yardage,yarn_company_name,yarn_weight_id,yarn_weight_knit_gauge,yarn_weight_name,yarn_weight_ply,yarn_weight_wpi,texture_clean,fiber_type_animal_fiber,fiber_type_id,fiber_type_name,fiber_type_synthetic,fiber_type_vegetable_fiber
4,198,2059,TRUE,17,Super Saver Solids,red-heart-super-saver-solids,3.58,17616,63069,cable plied,364,Red Heart,1,18,Aran,10,8,cable plied,FALSE,5,Acrylic,TRUE,FALSE
4,170,3330,TRUE,18,Simply Soft Solids,caron-simply-soft-solids,4.03,19133,77147,plied,315,Caron,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
4,100,523,NA,18,Cascade 220®,cascade-yarns-cascade-220,4.48,21517,96470,plied,220,Cascade Yarns ®,12,20,Worsted,10,9,plied,TRUE,3,Wool,FALSE,FALSE
4,100,5741,TRUE,16,Vanna's Choice,lion-brand-vannas-choice,3.87,13959,54036,plied,170,Lion Brand,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
4,100,1666,NA,18,Worsted,malabrigo-yarn-worsted,4.73,20638,97630,singles,210,Malabrigo Yarn,1,18,Aran,10,8,singles,TRUE,24,Wool,FALSE,FALSE
4,100,62569,TRUE,18,Rios,malabrigo-yarn-rios,4.81,20250,97421,plied,210,Malabrigo Yarn,12,20,Worsted,10,9,plied,TRUE,24,Wool,FALSE,FALSE
4,70,818,TRUE,20,Sugar'n Cream Solids & Denim,lily-sugarn-cream-solids--denim,4.11,13053,53632,"4 single plies, s-plied, non-mercerized",120,Lily,12,20,Worsted,10,9,"4 single plies, s-plied, non-mercerized",FALSE,1,Cotton,FALSE,TRUE
4,100,3518,TRUE,20,220 Superwash,cascade-yarns-220-superwash,4.42,14828,65478,NA,220,Cascade Yarns ®,12,20,Worsted,10,9,NA,TRUE,3,Wool,FALSE,FALSE
4,100,26385,TRUE,32,Sock,malabrigo-yarn-sock,4.74,18508,87693,plied,440,Malabrigo Yarn,13,32,Light Fingering,3,NA,plied,TRUE,24,Wool,FALSE,FALSE
4,NA,53539,TRUE,26,Tosh Merino Light,madelinetosh-tosh-merino-light,4.7,15991,75155,single,420,madelinetosh,5,28,Fingering,4,14,single,TRUE,24,Wool,FALSE,FALSE
4,100,42135,NA,20,Classic Wool Worsted,patons-north-america-classic-wool-worsted,4.24,11027,46735,plied,194,Patons North America,12,20,Worsted,10,9,plied,TRUE,3,Wool,FALSE,FALSE
4,142,7343,TRUE,18,I Love This Yarn!,hobby-lobby-i-love-this-yarn,4.41,6663,29405,plied,252,Hobby Lobby,1,18,Aran,10,8,plied,FALSE,5,Acrylic,TRUE,FALSE
4,50,1728,NA,18,Wool of the Andes Worsted,knit-picks-wool-of-the-andes-worsted,4.25,10484,44529,plied,110,Knit Picks,12,20,Worsted,10,9,plied,TRUE,3,Wool,FALSE,FALSE
4,50,1750,NA,28,Palette,knit-picks-palette,4.21,9018,37987,plied,231,Knit Picks,13,32,Light Fingering,3,NA,plied,TRUE,3,Wool,FALSE,FALSE
4,100,3309,NA,18,Cascade 220® Heathers,cascade-yarns-cascade-220-heathers,4.52,13229,59799,plied,220,Cascade Yarns ®,12,20,Worsted,10,9,plied,TRUE,3,Wool,FALSE,FALSE
4,150,3893,TRUE,28,Pure 100% Merino Superwash,rohrspatz--wollmeise-pure-100-merino-superwash,4.71,6133,28878,plied,574,Rohrspatz & Wollmeise,5,28,Fingering,4,14,plied,TRUE,24,Wool,FALSE,FALSE
4,50,4507,NA,24,DROPS Alpaca,garnstudio-drops-alpaca,4.44,8293,36807,plied,183,Garnstudio,10,24-26,Sport,5,12,plied,TRUE,14,Alpaca,FALSE,FALSE
