yarn_company_name,n
! Needs Brand Name,4
&Point,2
(Vi)laines,50
... clever sparen!,1
...a time to dye,9
1 Akasha Zeropoint Colorworks,20
1 Sheep 2 Sheep,2
1 ou 2 mailles,1
"1,000 Petals",2
100Farbspiele,5
123knit,1
1855 Fiber Company,3
19 Projects,3
1ou2mailles,11
2 Guys Yarn Company,11
21st Century Yarns,6
29 Bridges Studio,12
2DyeCru,2
3 AM Enchantments,1
3 Knotty Ladies,1
3 Suisses,7
3-Corner Field Farm,1
316 Dye Studio,3
31Rubies,1
3K Yarns,1
3dogknits Fibre Arts,9
4 Points,1
4 Seasons,24
4 Stitch Me Knot,2
4Ewe2Dream,2
5 Miles East,1
5R Alpacas,1
5th Avenue,11
626 Yarn & Fiber Company,1
64 Degrees North Fibers,3
716knit,8
7oczek,8
7th Floor Yarn,12
84 Alpacas,1
912 Yarn,3
A & B Fiberworks,2
A Bit o' Yarn,1
A Busy Life,2
A Chick That Knitz,17
A Fry Fiber Studio,1
A Geek's Yarn,4
A Good Day for a Cupcake,7
A Good Yarn,8
A Good Yarn Canada,1
A Good Yarn Sarasota,1
A Guy With Two Needles Yarn,10
A Homespun House,24
A Hundred Ravens,24
A Knit Story,4
A Knitter's Homestead,2
A Knitters World,5
A Little Bit Sheepish,5
A Little Knitty,3
A Lonely Sock Lady,1
A Million Stars,19
A N A I S,3
A Paca Fun Farm,1
A Piece of Vermont Yarn & Fiber,8
A Pleines Mains,6
A Riot Of Color,12
A Sea of Stones,1
A Secret Stash,2
A Sheep at the Wheel Yarn Company,4
A Simpler Time Alpacas & Mill,3
A Star Alpacas,3
A Star Is Shorn,4
A Stash Addict,9
A Touch of Twist,11
A Twisted Little Fiber Co,3
A Twisted Stitch,2
A Verb for Keeping Warm,33
A Wee Bit Knitty Hand Dyed Yarn,3
A Whimsical Wood Yarn Co.,21
A Wooden Nest,1
A Yarn To Dye For Designs,2
A Yarn from North Ronaldsay,2
A to Z Alpacas,5
A&B Fibreworks,1
A.L. de Sauveterre,3
A.P.D.O.O.,11
A.Z. Garne,11
ABQ Yarn,1
ACME Fibres,14
AG2N Dyed Yarns,3
AJHC Wools,15
ALC Yarns,1
AMO Yarn,1
ANY,3
APLCrafts Fine Yarn,6
APmezga,2
AR Garne Königstein,3
AS Sjølingstad Uldvarefabrik,3
AT Haynes House Yarns,10
ATAK Garn,2
AVRIL,41
AWV,1
Aade Lõng,11
Aara Yarn,14
Abacus Dyeworks,10
Abbey Road,8
Abenaia,2
Abercairn Yarns,3
Aberdare Yarns,1
Aberdeen's Wool Co.,7
Abi Grasso,10
Abies Creative,6
Abigood,3
Abner Jones Art Yarns,2
Abolengo de Alpaka,3
About the Color,1
Absinthe Yarn,2
Abstract Cat,12
Abstract Fiber,15
Abuelita Yarns,12
Abundant Earth Fiber,8
Abundant Yarn & Dyeworks,7
Abyssal Yarns,1
Acacia Yarns,2
Accademia,2
Access Commodities,1
Accessory Yarn MASAKI,3
Accidental Bliss,1
Acker's Acres,4
Action,18
Actual Size Creations,6
AdR Lanas,24
Ada Loves Laces,1
Adagio Mills,4
Adalynne Rose Fiber,1
Adelaide Cottage Yarns,14
Adelaide Fiber Company,4
Adelia,36
Adelia Fibers,4
Adirondack Yarns,1
Adlibris,1
Adobe Knits,5
Adorabella Alpacas,1
Adorn Yarns,4
Adriafil,82
Adrianwool,10
Adventure Textiles,1
Adventure Yarns,2
Adventures In Yarncraft,7
Adventures in Fiber,2
"Adventures in Wool, LLC",1
Adventures in Woollyland,4
Adventurist Yarn,1
Adéle's Mohair,18
African Expressions,12
After Hours Yarns,1
After the Sheep,1
Agrestal Yarn,2
Agro Köln,1
Agro gefachte Farbenwunder,1
"Ahjoomas Alpaca Farm, LLC",1
Aholaidan tila,3
Aholan Lammastila,2
Ahualoa Alpaca Fiberworks,1
Ailier,1
"Ailzhii Textile Co., Ltd.",1
Ainsworth & Prin,11
Aipeng,7
Airdelune,5
Aisha Celia Designs,1
Aisling Yarns,3
Aislon,7
Aister Oo,1
Aitana Villa Yarns,3
Akara Yarns,18
AkerbergsStash,1
Akkon,1
Akkon Iplik,4
Akvarelli,1
Alainn Yarns,12
Alaska Sister Yarns,3
Alaskan Yarn Co.,3
Alba,1
Albanach Artisan Yarns,1
Albayarns,2
Alberta Yarn Project,2
Albozzi Filati Alma,17
Albwolle Grupp,1
Alchemist's Dyeworks,1
Alchemy Fibre Arts,1
Alchemy: Yarns of Transformation,12
Alcidina,15
Alcotex,2
Aldemir,3
Aldi / Hofer,2
Alessandra Filati,22
AlexCreates,10
Alexander LTD / Александър ЕООД,1
Alexandra the Art of Yarn,31
Ali Rose Artisans,4
Ali-Unkin Lammastila,1
AliCat Fiberarts,2
Alice Alishka Yarn Cake,3
Alice Starmore,4
Alice Yarn,2
Alice and Pip,1
Alice in Stitches,4
Alida Viljoen,1
